id_producto,nombre_producto,precio_producto,categoria
1,Espejo Compacto,12.57,Accesorios
2,Pinza Precisión,28.76,Accesorios
3,Kit Uñas,43.83,Uñas
4,Gel UV Rosa,16.27,Uñas
5,Delineador Negro,11.16,Ojos
6,Base Hidratante,18.54,Rostro
7,Máscara Volumen,44.48,Ojos
8,Sombra Neutra,8.83,Ojos
9,Organizador Acrílico,22.66,Accesorios
10,Labial Rojo,30.02,Labial
11,Sombra Fría,38.17,Ojos
12,Uñas Postizas,24.54,Uñas
13,Delineador Waterproof,48.12,Ojos
14,Labial Rosa,39.8,Labial
15,Bálsamo Labial,17.16,Labial
16,Diadema Maquillaje,23.36,Accesorios
17,Ganchos Decorativos,7.95,Accesorios
18,Sellos Azul,38.92,Uñas
19,Lápiz Cejas,6.37,Ojos
20,Sombra Metálica,40.44,Ojos
21,Rubor Durazno,25.27,Rostro
22,Iluminador Dorado,39.15,Ojos
23,Labial Coral,48.48,Labial
24,Uñas Florales,48.39,Uñas
25,Tinta Hidratante,7.56,Labial
26,Acrílico Uñas,44.75,Uñas
27,Sombra Brillante,41.84,Ojos
28,Labial Nude,11.75,Labial
29,Mini Sombras,7.51,Ojos
30,Corrector Alta Cobertura,16.07,Rostro
31,Organizador Bandeja,36.99,Accesorios
32,Brocha Polvo,22.61,Accesorios
33,Uñas Glaseadas,15.75,Uñas
34,Estuche Accesorios,46.93,Accesorios
35,Sombras Crema,17.52,Ojos
36,Uñas Perlado,9.42,Uñas
37,Brocha Rostro,16.49,Rostro
38,Sombra Miel,24.56,Ojos
39,Caja Accesorios,11.03,Accesorios
40,Máscara Azul,49.17,Ojos
41,Organizador Joyas,31.03,Accesorios
42,Uñas Mate,38.36,Uñas
43,Brocha Contorno,34.11,Rostro
44,Bandeja Acrílico,26.6,Accesorios
45,Sombra Verde,12.19,Ojos
46,Uñas Nude,12.43,Uñas
47,Bandeja Joyas,12.5,Accesorios
48,Labial Malva,19.86,Labial
49,Máscara Marrón,45.69,Ojos
50,Labial Magenta,48.88,Labial
51,Brocha Iluminador,41.37,Rostro
52,Organizador Mini,16.96,Accesorios
53,Organizador Rodado,40.96,Accesorios
54,Labial Brillante,19.97,Labial
55,Organizador Plano,6.32,Accesorios
56,Organizador Cuadrado,42.76,Accesorios
57,Labial Fucsia,14.67,Labial
58,Máscara Intensa,24.73,Ojos
59,Estuche Mini,29.11,Accesorios
60,Máscara Negra,40.88,Ojos
61,Máscara Café,49.3,Ojos
62,Estuche Joyas,21.69,Accesorios
63,Organizador Pequeño,15.08,Accesorios
64,Labial Violeta,35.69,Labial
65,Brocha Blush,43.76,Rostro
66,Labial Beige,6.35,Labial
67,Brocha Diffuse,8.2,Rostro
68,Brocha Duo,15.56,Rostro
69,Uñas Transparente,13.84,Uñas
70,Brocha Sculptor,10.27,Rostro
71,Uñas Rosa,45.9,Uñas
72,Caja Banda,41.41,Accesorios
73,Caja Organizadora,41.28,Accesorios
74,Mini Estuche,12.92,Accesorios
75,Máscara Pestañas,23.32,Ojos
76,Brocha Duofibra,20.63,Rostro
77,Labial Salmon,29.35,Labial
78,Labial Coral Claro,7.01,Labial
79,Sombras Café,18.57,Ojos
80,Caja Acrílica,28.01,Accesorios
81,Máscara Oliva,30.14,Ojos
82,Labial Durazno,24.33,Labial
83,Labial Lila,31.63,Labial
84,Brocha Polvo Suave,43.46,Rostro
85,Brocha Iluminador Duo,22.39,Rostro
86,Mini Organizador,8.37,Accesorios
87,Sombra Púrpura,33.11,Ojos
88,Labial Nude Mate,39.83,Labial
89,Labial Rosa Vivo,45.14,Labial
90,Sombras Plata,39.4,Ojos
91,Máscara Clear,5.72,Ojos
92,Brocha Labios,27.3,Rostro
93,Mini Sombras Frías,9.41,Ojos
94,Brocha Polvo Densa,39.41,Rostro
95,Uñas Glitter,15.39,Uñas
96,Bandeja Compacta,41.18,Accesorios
97,Medias de Accesorios,21.63,Accesorios
98,Máscara Roja,42.93,Ojos
99,Brocha Blending,27.65,Rostro
100,Bandeja Mini,39.91,Accesorios
101,Uñas Glitteradas,29.03,Uñas
102,Mini Organizador,5.44,Accesorios
103,Brocha Corrector,34.36,Rostro
104,Labial Bordo,43.73,Labial
105,Estuche Multiuso,40.5,Accesorios
106,Estuche Organizador,45.41,Accesorios
107,Mini Bandeja,14.29,Accesorios
108,Uñas Francesa,32.44,Uñas
109,Mini Organizador Sala,15.15,Accesorios
110,Brocha Kabuki,23.76,Rostro
111,Máscara Plateada,9.66,Ojos
112,Máscara Dúo,36.07,Ojos
113,Brocha Cheeks,35.38,Rostro
114,Máscara Café Claro,10.17,Ojos
115,Uñas Rosadas,16.47,Uñas
116,Uñas Perfectas,45,Uñas
117,Máscara Verde,48.53,Ojos
118,Brocha Contouring,47.75,Rostro
119,Uñas Mate Calma,47.16,Uñas
120,Labial Coral Oscuro,38.52,Labial
121,Máscara Gris,36.19,Ojos
122,Brocha Definición,14.02,Rostro
123,Labial Intenso,18.99,Labial
124,Máscara Azul Claro,13.65,Ojos
125,Rubor Coral,28.47,Rostro
126,Caja Accesorios Multi,26.75,Accesorios
127,Uñas Pastel,17.76,Uñas
128,Máscara Cotidiana,48.33,Ojos
129,Uñas Elegantes,43.01,Uñas
130,Labial Nude Claro,6.49,Labial
131,Labial Rosa Claro,29,Labial
132,Labial Nude Oscuro,30.97,Labial
133,Máscara Metal,43.97,Ojos
134,Uñas Finas,39.38,Uñas
135,Uñas Satinadas,44.62,Uñas
136,Brocha Iluminación,12.31,Rostro
137,Brocha Ojos,42.54,Ojos
138,Labial Rosa Viejo,22.37,Labial
139,Uñas Lila,23.73,Uñas
140,Brocha Sculpt,39.52,Rostro
141,Uñas Suaves,27.72,Uñas
142,Labial Bordó,45.45,Labial
143,Labial Nude Satín,24.46,Labial
144,Caja Joyero,27.61,Accesorios
145,Uñas Claras,10.82,Uñas
146,Caja Organizadora Acrílica,40.18,Accesorios
147,Máscara Elegante,25.1,Ojos
148,Brocha Multi,19.7,Rostro
149,Brocha Duo Precision,36.9,Rostro
150,Caja Multiuso,27.78,Accesorios
151,Uñas Vibrantes,47,Uñas
152,Mini Caja,9.87,Accesorios
153,Labial Fresa,31.84,Labial
154,Caja Accesorios Pequeña,13.2,Accesorios
155,Brocha Crease,11.46,Rostro
156,Máscara Ojos,20.16,Ojos
157,Máscara Gris Claro,25.77,Ojos
158,Caja de Organizador,12.76,Accesorios
159,Brocha Camouflage,40.44,Rostro
160,Máscara Café Oscuro,41.32,Ojos
161,Uñas Express,39.7,Uñas
162,Brocha Corrector Compacto,17.61,Rostro
163,Labial Vino,33.67,Labial
164,Labial Lila Claro,13.29,Labial
165,Máscara Ojos Ahumados,26.5,Ojos
166,Caja Acc. Compacta,13.19,Accesorios
167,Brocha Cara,9.44,Rostro
168,Labial Nude Rosado,26.7,Labial
169,Máscara Ojos Verde Oscuro,43.58,Ojos
170,Brocha Contorno Ligero,23.39,Rostro
171,Uñas Clásicas,36.98,Uñas
172,Brocha Polvos Finos,24.98,Rostro
173,Máscara Siria,31.1,Ojos
174,Uñas Ballet,31.37,Uñas
175,Máscara Ojos Azul,46.03,Ojos
176,Labial Almendra,38.18,Labial
177,Labial Durazno Claro,44.6,Labial
178,Caja Bandeja Pequeña,5.4,Accesorios
179,Brocha Ojos Fina,13.33,Rostro
180,Caja Multi Plan,48.14,Accesorios
181,Labial Cereza,39.78,Labial
182,Uñas Delicadas,22.32,Uñas
183,Uñas Profundas,49.72,Uñas
184,Uñas Transparente Mate,14.59,Uñas
185,Brocha Rostro Compacta,48.59,Rostro
186,Brocha Rostro Suave,8.87,Rostro
187,Caja Accesorios Mediana,7.18,Accesorios
188,Máscara Ojos MIDI,48.08,Ojos
189,Brocha Rostro Densa,18.82,Rostro
190,Labial Arena,19.54,Labial
191,Labial Marrón Claro,37.99,Labial
192,Uñas Negras,48.28,Uñas
193,Máscara Ojos Verde Claro,22.67,Ojos
194,Uñas Plata,41.41,Uñas
195,Brocha Contour,12.33,Rostro
196,Uñas Aurora,44.61,Uñas
197,Máscara Ojos Azul Oscuro,45.09,Ojos
198,Máscara Ojos Café,38.55,Ojos
199,Brocha Blush Mini,27.61,Rostro
200,Labial Rojo Oscuro,43.58,Labial
